Neuron_type,Modality,Neurotransmitter,Ciliated,Pharyngeal,Nb_Processes,Process_Position,Branching,Sexual_dimorphism,Mechanosensation,Gentle_Touch,Harsh_Touch,Nociception,Proprioception,Chemosensation,Thermosensation,Photosensation,Electrosensation,Texture,Oxygen_sensory,CO2_sensory,Odorsensation,Pheromone_sensory,Magnetic_Field,Humidity,Osmosensation,Dauer_Entry
DVB,"motor,interneuron",GABA,No,no,1,VNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVC,interneuron,glu,No,no,1,VNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLP,sensory,glu,Yes,no,2,,3,none,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HSN,motor,"ACh,5HT",No,no,1,VNC,2,hermaphrodite_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,interneuron,ACh,No,pharyngeal,2,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2,interneuron,glu,No,pharyngeal,2,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3,interneuron,ACh,No,pharyngeal,2,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4,interneuron,unknown,No,pharyngeal,2,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I5,interneuron,"glu,5HT",No,pharyngeal,2,,2,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I6,interneuron,unknown,No,pharyngeal,2,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL1,"sensory,motor,interneuron",glu,Yes,no,2,,1,none,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2_DV,sensory,ACh,Yes,no,2,,0,none,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2_LR,sensory,ACh,Yes,no,2,,0,none,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUA,interneuron,glu,No,no,1,VNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,motor,"glu,ACh",No,pharyngeal,1,,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2,motor,ACh,No,pharyngeal,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
